symbol,rsi_n,rsi_total_R_0bps,rsi_expectancy_R_0bps,rsi_total_R_5bps,rsi_expectancy_R_5bps,macd_n,macd_total_R_0bps,macd_expectancy_R_0bps,macd_total_R_5bps,macd_expectancy_R_5bps
ADBE,1,-1.0,-1.0,-1.2071109691228614,-1.2071109691228614,3,0.5814003643646171,0.19380012145487235,-1.031856165373305,-0.343952055124435
ADI,1,13.439597315440796,13.439597315440796,12.578119127521042,12.578119127521042,3,-3.0,-1.0,-5.431909425775186,-1.8106364752583952
AMAT,10,6.780805347724958,0.6780805347724959,3.798605826341128,0.3798605826341128,5,1.5090102195382868,0.30180204390765736,-14.075123040002653,-2.8150246080005306
AMD,3,2.8724387304141326,0.9574795768047109,2.1828312687629787,0.7276104229209929,7,4.605399668190309,0.6579142383129012,2.857951443889125,0.4082787776984464
AMZN,2,-2.0,-1.0,-2.723817824257329,-1.3619089121286645,0,0.0,,0.0,
AVGO,3,-3.0,-1.0,-3.8412734523248018,-1.2804244841082673,5,1.1140939597314388,0.22281879194628776,-2.0364399552755295,-0.4072879910551059
CSCO,1,-1.0,-1.0,-1.488055079798014,-1.488055079798014,1,-1.0,-1.0,-1.8245729960710433,-1.8245729960710433
GOOGL,1,-1.0,-1.0,-1.1466318101933233,-1.1466318101933233,1,1.1238938053097796,1.1238938053097796,0.8411371681416226,0.8411371681416226
HON,0,0.0,,0.0,,1,-0.2505882352941271,-0.2505882352941271,-0.40383000000000124,-0.40383000000000124
INTC,4,3.760020349243398,0.9400050873108495,2.3100137690839047,0.5775034422709762,4,-4.0,-1.0,-5.0574939651315995,-1.2643734912828999
INTU,1,-1.0,-1.0,-1.429791633012056,-1.429791633012056,1,-1.0,-1.0,-1.534665337639113,-1.534665337639113
KLAC,5,-0.2699333709315983,-0.05398667418631966,-1.7401100226891024,-0.3480220045378205,6,-6.0,-1.0,-10.687074922432917,-1.7811791537388195
LRCX,5,3.063386676485419,0.6126773352970838,1.354029532740077,0.2708059065480154,8,-2.321332676437915,-0.29016658455473937,-5.809882905265463,-0.7262353631581828
MU,6,-3.0146732525472126,-0.5024455420912021,-5.151732270350015,-0.8586220450583358,3,-2.629970902036863,-0.876656967345621,-3.300491901870128,-1.1001639672900427
NVDA,0,0.0,,0.0,,1,-0.4760705289672647,-0.4760705289672647,-0.6120869017632384,-0.6120869017632384
PANW,1,-1.0,-1.0,-1.7493684924080026,-1.7493684924080026,2,2.1736413285128897,1.0868206642564449,2.0298143243517033,1.0149071621758516
PEP,0,0.0,,0.0,,1,0.3323353293413182,0.3323353293413182,0.24347155688622923,0.24347155688622923
QCOM,4,5.974254050224688,1.493563512556172,5.232545512758352,1.308136378189588,5,0.7514331509218248,0.15028663018436497,0.27795359188260205,0.05559071837652041
REGN,0,0.0,,0.0,,2,-0.7632754342431896,-0.3816377171215948,-1.0195875207046778,-0.5097937603523389
STX,5,3.71686967426745,0.74337393485349,2.429525665632269,0.4859051331264538,4,-2.7213286150876677,-0.6803321537719169,-3.875787836277894,-0.9689469590694735
TSLA,1,-1.0,-1.0,-1.1692145069695403,-1.1692145069695403,0,0.0,,0.0,
TXN,1,10.455746766609664,10.455746766609664,9.413231364002627,9.413231364002627,2,-2.0,-1.0,-2.989786291953468,-1.494893145976734
VRTX,1,-1.0,-1.0,-1.8054818181818018,-1.8054818181818018,2,0.7037906137184249,0.35189530685921244,0.29514308283583834,0.14757154141791917
